           1           1   2000.0000000000000     
           1           2   2009.8880430497807     
           1           3   2019.5521722357271     
           1           4   2028.9923876675707     
           1           5   2038.2086895279299     
           1           6   2047.2010780719079     
           1           7   2055.9695536265326     
           1           8   2064.5141165900368     
           1           9   2072.8347674309830     
           1          10   2080.9315066872341     
           1          11   2088.8043349647714     
           1          12   2096.4532529363605     
           1          13   2103.8782613400745     
           1          14   2111.0793609776701     
           1          15   2118.0565527128256     
           1          16   2124.8098374692445     
           1          17   2131.3392162286209     
           1          18   2137.6446900284845     
           1          19   2143.7262599599185     
           1          20   2149.5839271651635     
           1          21   2155.2176928351018     
           1          22   2160.6275582066455     
           1          23   2165.8135245600133     
           1          24   2170.7755932159175     
           1          25   2175.5137655326612     
           1          26   2180.0280429031527     
           1          27   2184.3184267518409     
           1          28   2188.3849185315898     
           1          29   2192.2275197204772     
           1          30   2195.8462318185534     
           1          31   2199.2410563445360     
           1          32   2202.4119948324787     
           1          33   2205.3590488283935     
           1          34   2208.0822198868559     
           1          35   2210.5815095675853     
           1          36   2212.8569194320180     
           1          37   2214.9084510398725     
           1          38   2216.7361059457257     
           1          39   2218.3398856955891     
           1          40   2219.7197918235156     
           1          41   2220.8758258482239     
           1          42   2221.8079892697638     
           1          43   2222.5162835662136     
           1          44   2223.0007101904362     
           1          45   2223.2612705668816     
           1          46   2223.2979660884575     
           1          47   2223.1107981134674     
           1          48   2222.6997679626229     
           1          49   2222.0648769161435     
           1          50   2221.2061262109401     
           1          51   2220.1235170378968     
           1          52   2218.8170505392532     
           1          53   2217.2867278060921     
           1          54   2215.5325498759435     
           1          55   2213.5545177305030     
           1          56   2211.3526322934713     
           1          57   2208.9268944285286     
           1          58   2206.2773049374309     
           1          59   2203.4038645582518     
           1          60   2200.3065739637568     
           1          61   2196.9854337599272     
           1          62   2193.4404444846250     
           1          63   2189.6716066064137     
           1          64   2185.6789205235264     
           1          65   2181.4623865629901     
           1          66   2177.0220049799082     
           1          67   2172.3577759568998     
           1          68   2167.4696996036955     
           2           1   1965.1121234673369     
           2           2   1975.0001665171178     
           2           3   1984.6642957030640     
           2           4   1994.1045111349079     
           2           5   2003.3208129952668     
           2           6   2012.3132015392453     
           2           7   2021.0816770938698     
           2           8   2029.6262400573737     
           2           9   2037.9468908983199     
           2          10   2046.0436301545715     
           2          11   2053.9164584321088     
           2          12   2061.5653764036979     
           2          13   2068.9903848074114     
           2          14   2076.1914844450066     
           2          15   2083.1686761801629     
           2          16   2089.9219609365814     
           2          17   2096.4513396959578     
           2          18   2102.7568134958210     
           2          19   2108.8383834272558     
           2          20   2114.6960506324999     
           2          21   2120.3298163024392     
           2          22   2125.7396816739824     
           2          23   2130.9256480273507     
           2          24   2135.8877166832544     
           2          25   2140.6258889999986     
           2          26   2145.1401663704892     
           2          27   2149.4305502191783     
           2          28   2153.4970419989268     
           2          29   2157.3396431878145     
           2          30   2160.9583552858903     
           2          31   2164.3531798118729     
           2          32   2167.5241182998157     
           2          33   2170.4711722957309     
           2          34   2173.1943433541928     
           2          35   2175.6936330349222     
           2          36   2177.9690428993545     
           2          37   2180.0205745072099     
           2          38   2181.8482294130627     
           2          39   2183.4520091629265     
           2          40   2184.8319152908525     
           2          41   2185.9879493155613     
           2          42   2186.9201127371007     
           2          43   2187.6284070335510     
           2          44   2188.1128336577731     
           2          45   2188.3733940342186     
           2          46   2188.4100895557949     
           2          47   2188.2229215808038     
           2          48   2187.8118914299598     
           2          49   2187.1770003834808     
           2          50   2186.3182496782774     
           2          51   2185.2356405052342     
           2          52   2183.9291740065901     
           2          53   2182.3988512734290     
           2          54   2180.6446733432808     
           2          55   2178.6666411978395     
           2          56   2176.4647557608087     
           2          57   2174.0390178958655     
           2          58   2171.3894284047683     
           2          59   2168.5159880255887     
           2          60   2165.4186974310942     
           2          61   2162.0975572272641     
           2          62   2158.5525679519624     
           2          63   2154.7837300737510     
           2          64   2150.7910439908633     
           2          65   2146.5745100303270     
           2          66   2142.1341284472455     
           2          67   2137.4698994242367     
           2          68   2132.5818230710320     
           3           1   1930.4484934667034     
           3           2   1940.3365365164841     
           3           3   1950.0006657024305     
           3           4   1959.4408811342742     
           3           5   1968.6571829946336     
           3           6   1977.6495715386118     
           3           7   1986.4180470932363     
           3           8   1994.9626100567402     
           3           9   2003.2832608976864     
           3          10   2011.3800001539375     
           3          11   2019.2528284314749     
           3          12   2026.9017464030640     
           3          13   2034.3267548067777     
           3          14   2041.5278544443731     
           3          15   2048.5050461795290     
           3          16   2055.2583309359479     
           3          17   2061.7877096953243     
           3          18   2068.0931834951880     
           3          19   2074.1747534266219     
           3          20   2080.0324206318664     
           3          21   2085.6661863018053     
           3          22   2091.0760516733490     
           3          23   2096.2620180267168     
           3          24   2101.2240866826210     
           3          25   2105.9622589993646     
           3          26   2110.4765363698561     
           3          27   2114.7669202185443     
           3          28   2118.8334119982933     
           3          29   2122.6760131871806     
           3          30   2126.2947252852568     
           3          31   2129.6895498112394     
           3          32   2132.8604882991822     
           3          33   2135.8075422950969     
           3          34   2138.5307133535593     
           3          35   2141.0300030342887     
           3          36   2143.3054128987210     
           3          37   2145.3569445065764     
           3          38   2147.1845994124292     
           3          39   2148.7883791622926     
           3          40   2150.1682852902190     
           3          41   2151.3243193149278     
           3          42   2152.2564827364672     
           3          43   2152.9647770329175     
           3          44   2153.4492036571396     
           3          45   2153.7097640335851     
           3          46   2153.7464595551610     
           3          47   2153.5592915801708     
           3          48   2153.1482614293263     
           3          49   2152.5133703828469     
           3          50   2151.6546196776435     
