#   x       y(x)         y(x)^2         classical p(x)      V
 -9.170  0.23000724E-14  0.52903331E-29  0.00000000E+00   42.044450
 -9.160  0.25096565E-14  0.62983757E-29  0.00000000E+00   41.952800
 -9.150  0.27380504E-14  0.74969198E-29  0.00000000E+00   41.861250
 -9.140  0.29869157E-14  0.89216653E-29  0.00000000E+00   41.769800
 -9.130  0.32580584E-14  0.10614944E-28  0.00000000E+00   41.678450
 -9.120  0.35534412E-14  0.12626944E-28  0.00000000E+00   41.587200
 -9.110  0.38751967E-14  0.15017150E-28  0.00000000E+00   41.496050
 -9.100  0.42256424E-14  0.17856054E-28  0.00000000E+00   41.405000
 -9.090  0.46072956E-14  0.21227173E-28  0.00000000E+00   41.314050
 -9.080  0.50228911E-14  0.25229435E-28  0.00000000E+00   41.223200
 -9.070  0.54753992E-14  0.29979996E-28  0.00000000E+00   41.132450
 -9.060  0.59680458E-14  0.35617571E-28  0.00000000E+00   41.041800
 -9.050  0.65043341E-14  0.42306362E-28  0.00000000E+00   40.951250
 -9.040  0.70880678E-14  0.50240705E-28  0.00000000E+00   40.860800
 -9.030  0.77233765E-14  0.59650544E-28  0.00000000E+00   40.770450
 -9.020  0.84147431E-14  0.70807901E-28  0.00000000E+00   40.680200
 -9.010  0.91670337E-14  0.84034507E-28  0.00000000E+00   40.590050
 -9.000  0.99855296E-14  0.99710801E-28  0.00000000E+00   40.500000
 -8.990  0.10875962E-13  0.11828655E-27  0.00000000E+00   40.410050
 -8.980  0.11844549E-13  0.14029335E-27  0.00000000E+00   40.320200
 -8.970  0.12898039E-13  0.16635942E-27  0.00000000E+00   40.230450
 -8.960  0.14043752E-13  0.19722696E-27  0.00000000E+00   40.140800
 -8.950  0.15289626E-13  0.23377266E-27  0.00000000E+00   40.051250
 -8.940  0.16644274E-13  0.27703186E-27  0.00000000E+00   39.961800
 -8.930  0.18117035E-13  0.32822695E-27  0.00000000E+00   39.872450
 -8.920  0.19718035E-13  0.38880092E-27  0.00000000E+00   39.783200
 -8.910  0.21458256E-13  0.46045675E-27  0.00000000E+00   39.694050
 -8.900  0.23349601E-13  0.54520385E-27  0.00000000E+00   39.605000
 -8.890  0.25404973E-13  0.64541264E-27  0.00000000E+00   39.516050
 -8.880  0.27638359E-13  0.76387889E-27  0.00000000E+00   39.427200
 -8.870  0.30064917E-13  0.90389922E-27  0.00000000E+00   39.338450
 -8.860  0.32701072E-13  0.10693601E-26  0.00000000E+00   39.249800
 -8.850  0.35564622E-13  0.12648423E-26  0.00000000E+00   39.161250
 -8.840  0.38674848E-13  0.14957439E-26  0.00000000E+00   39.072800
 -8.830  0.42052639E-13  0.17684245E-26  0.00000000E+00   38.984450
 -8.820  0.45720619E-13  0.20903750E-26  0.00000000E+00   38.896200
 -8.810  0.49703291E-13  0.24704171E-26  0.00000000E+00   38.808050
 -8.800  0.54027190E-13  0.29189373E-26  0.00000000E+00   38.720000
 -8.790  0.58721050E-13  0.34481617E-26  0.00000000E+00   38.632050
 -8.780  0.63815977E-13  0.40724790E-26  0.00000000E+00   38.544200
